3.16	2	6.06	-9	8.12	-9	9.78	-9	1.08	-8	1.18	-8	1.18	-8	1.04	-8	6.78	-9
1	3	1.14 	-10	1.69 	-10	2.24 	-10	2.67 	-10	3.28 	-10	4.02 	-10	4.19 	-10	3.69 	-10
3.16 	3	1.87	-12	2.91 	-12	4.06 	-12	5.06 	-12	6.65 	-12	9.14 	-12	1.04 	-11	1.05 	-11
1	4	2.81	-14	4.50	-14	6.47	-14	8.26	-14	1.13	-13	1.64	-13	1.95	-13	2.07	-13
3.16	4	4.06	-16	6.58	-16	9.60	-16	1.24	-15	1.72	-15	2.60	-15	3.16	-15	3.42	-15
1	5	5.78	-18	9.41	-18	1.38	-17	1.79	-17	2.51	-17	3.85	-17	4.72	-17	5.16	-17
3.16	5	8.18	-20	1.33	-19	1.96	-19	2.55	-19	3.59	-19	5.53	-19	6.81	-19	7.47	-19
1	6	1.16	-21	1.89	-21	2.78	-21	3.61	-21	5.08	-21	7.86	-21	9.68	-21	1.06	-20
